TIME,A3C
0.36444444444444446,0.0
0.7297222222222223,0.344
1.105,0.87
1.4847222222222223,1.191
1.866111111111111,1.482
2.250277777777778,0.03
2.6380555555555554,3.0
3.0236111111111112,3.545
3.4122222222222223,3.2
3.803888888888889,2.966
4.198055555555555,3.391
4.592222222222222,3.818
4.983888888888889,3.789
5.385277777777778,4.105
5.7813888888888885,4.4
6.1786111111111115,3.625
6.575555555555556,3.464
6.9625,2.75
7.3575,3.0
7.755833333333333,3.346
8.150277777777777,4.545
8.545833333333333,3.857
8.941666666666666,4.042
9.332777777777778,4.19
9.729166666666666,4.04
10.125833333333333,3.76
10.523888888888889,3.321
10.920833333333333,4.706
11.310555555555556,5.118
11.705833333333333,4.167
12.103055555555555,4.5
12.500277777777777,2.586
12.897222222222222,3.148
13.293611111111112,3.038
13.691666666666666,3.091
14.083333333333334,3.667
14.467222222222222,4.043
14.864444444444445,4.476
15.260833333333334,3.591
15.658888888888889,5.0
16.05472222222222,4.75
16.449444444444445,3.6
16.8475,3.741
17.24222222222222,3.654
17.641944444444444,3.5
18.038888888888888,4.19
18.439166666666665,3.88
